zip,Zipcode name,City,State,County Name
42201,ABERDEEN,ABERDEEN,KY,BUTLER
42202,ADAIRVILLE,ADAIRVILLE,KY,LOGAN
41201,ADAMS,ADAMS,KY,LAWRENCE
42120,ADOLPHUS,ADOLPHUS,KY,ALLEN
42602,ALBANY,ALBANY,KY,CLINTON
41001,ALEXANDRIA,ALEXANDRIA,KY,CAMPBELL
41601,ALLEN,ALLEN,KY,FLOYD
42204,ALLENSVILLE,ALLENSVILLE,KY,TODD
42020,ALMO,ALMO,KY,CALLOWAY
42603,ALPHA,ALPHA,KY,CLINTON
42122,ALVATON,ALVATON,KY,WARREN
40402,ANNVILLE,ANNVILLE,KY,JACKSON
41121,ARGILLITE,ARGILLITE,KY,GREENUP
40902,ARJAY,ARJAY,KY,BELL
42021,ARLINGTON,ARLINGTON,KY,CARLISLE
40903,ARTEMUS,ARTEMUS,KY,KNOX
41712,ARY,ARY,KY,PERRY
41512,ASHCAMP,ASHCAMP,KY,PIKE
40803,ASHER,ASHER,KY,LESLIE
41101,ASHLAND,ASHLAND,KY,BOYD
41102,ASHLAND,ASHLAND,KY,BOYD
41105,ASHLAND,ASHLAND,KY,BOYD
41114,ASHLAND,ASHLAND,KY,BOYD
42206,AUBURN,AUBURN,KY,LOGAN
41002,AUGUSTA,AUGUSTA,KY,BRACKEN
42123,AUSTIN,AUSTIN,KY,BARREN
41602,AUXIER,AUXIER,KY,FLOYD
41713,AVAWAM,AVAWAM,KY,PERRY
40003,BAGDAD,BAGDAD,KY,SHELBY
42022,BANDANA,BANDANA,KY,BALLARD
41603,BANNER,BANNER,KY,FLOYD
40906,BARBOURVILLE,BARBOURVILLE,KY,KNOX
40004,BARDSTOWN,BARDSTOWN,KY,NELSON
42023,BARDWELL,BARDWELL,KY,CARLISLE
42024,BARLOW,BARLOW,KY,BALLARD
40104,BATTLETOWN,BATTLETOWN,KY,MEADE
40806,BAXTER,BAXTER,KY,HARLAN
41714,BEAR BRANCH,BEAR BRANCH,KY,LESLIE
41311,BEATTYVILLE,BEATTYVILLE,KY,LEE
42124,BEAUMONT,BEAUMONT,KY,METCALFE
41203,BEAUTY,BEAUTY,KY,MARTIN
41604,BEAVER,BEAVER,KY,FLOYD
42320,BEAVER DAM,BEAVER DAM,KY,OHIO
40006,BEDFORD,BEDFORD,KY,TRIMBLE
42207,BEE SPRING,BEE SPRING,KY,EDMONSON
42321,BEECH CREEK,BEECH CREEK,KY,MUHLENBERG
42322,BEECH GROVE,BEECH GROVE,KY,MCLEAN
42323,BEECHMONT,BEECHMONT,KY,MUHLENBERG
41513,BELCHER,BELCHER,KY,PIKE
41514,BELFRY,BELFRY,KY,PIKE
41073,BELLEVUE,BELLEVUE,KY,CAMPBELL
42324,BELTON,BELTON,KY,MUHLENBERG
40807,BENHAM,BENHAM,KY,HARLAN
42025,BENTON,BENTON,KY,MARSHALL
40403,BEREA,BEREA,KY,MADISON
40404,BEREA,BEREA,KY,MADISON
41003,BERRY,BERRY,KY,HARRISON
42516,BETHELRIDGE,BETHELRIDGE,KY,CASEY
40007,BETHLEHEM,BETHLEHEM,KY,HENRY
41605,BETSY LAYNE,BETSY LAYNE,KY,FLOYD
